x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
0,0,18.59,15.54,22.92,61.59,67.34,116.6
0.1,0,18.73,15.3,23.54,61.52,63.27,117.25
0.2,0,18.72,15.62,23.49,61.45,69.55,117.56
0.3,0,19.05,16.09,24.15,59.24,68.45,114.3
0.4,0,18.99,16.02,24.02,58.42,67.15,111.6
0.5,0,18.93,15.85,23.57,59.2,67.13,110.77
0.6,0,18.52,15.34,22.68,60.81,68.95,112.68
0.7,0,18.87,15.83,23.28,62.13,70.59,113.76
0.8,0,18.43,15.36,20.43,63.17,70.9,112.48
0.9,0,18.5,15.77,25.63,63.92,71.14,110.9
1,0,18.66,15.58,22.12,62.41,68.16,106.25
1.1,0,18.35,15.48,23.59,64.93,70.88,108.31
1.2,0,18.47,15.74,23.2,29.01,35.97,62.84
1.3,0,18.45,16.05,23.61,31.67,38.94,66.25
1.4,0,18.9,17.1,26.44,31.57,37.6,64.52
1.5,0,19.3,17.69,27.13,31.57,37.08,63.94
1.6,0,18.7,16.63,25.72,31.29,36.29,62.13
1.7,0,19,17.22,26.99,31.49,36.95,62.85
1.8,0,19.42,17.21,25.76,31.95,37.87,62.94
1.9,0,19.19,17.15,24.93,30.34,35.37,60.95
2,0,19.72,17.65,25.84,26.76,31.26,51.54
2.1,0,20.31,19.08,27.87,34.13,38.38,62.93
2.2,0,20.43,19.26,28.74,35.02,39.6,63.66
2.3,0,23.62,19.87,29.51,32.62,37.62,61.83
2.4,0,26.73,22.31,30.9,31.12,36.07,61.94
2.5,0,27.13,22.13,30.43,32.16,35.87,59.57
2.6,0,26.83,21.91,29.7,33.76,34.63,55.68
2.7,0,27.12,21.95,28.72,32.33,31.29,50.1
2.8,0,27.41,21.83,29.2,28.45,30.21,50.02
2.9,0,27.55,21.79,28.4,18.66,32.14,56.23
3,0,28.96,23.16,28.37,18.27,43.9,73.78
3.1,0,30.82,25.76,31.01,7.31,39.79,67.6
3.2,0,31.18,26.48,31,-6.27,30.93,57.13
3.3,0,31.44,27.76,32.99,-13.38,26.54,51.98
3.4,0,31.12,28.15,33.5,-5.16,27.53,50.4
3.5,0,29.28,25.68,30.1,-1.62,28.89,51.51
3.6,0,29.58,26.88,32.7,3.83,38.17,65.54
3.7,0,29.74,27.25,33.52,16.92,50.11,79.3
3.8,0,28.8,26.77,32.43,25.53,49.13,77.45
3.9,0,25.17,22.43,25.8,18.14,40.66,67.39
4,0,26.07,24.6,28.1,20.4,40.73,68.14
4.1,0,26.97,26.36,30.97,44.49,55.05,81.53
4.2,0,27.36,27.56,32.22,48.81,55.18,79.36
4.3,0,27.92,28.2,33.81,48.02,52,75.98
4.4,0,28.68,28.8,34.55,43.26,47.55,70.55
4.5,0,29.17,30.11,35.07,32.01,30.77,49.75
4.6,0,29.39,30.01,35.26,27.15,26.82,45.58
4.7,0,28.95,30.29,36.42,22.14,27.8,48.97
4.8,0,28.24,29.76,35.8,15.53,25.75,46.94
4.9,0,25.98,26.72,31.84,14.59,23.49,43.5
5,0,23.67,24.95,30.2,15.91,25.22,47.99
5.1,0,24.24,26.03,32.37,14.64,26.84,49.66
5.2,0,24.24,26.71,33.58,14.76,28.29,51.99
5.3,0,23.17,25.86,32.8,12.09,26.85,48.98
5.4,0,22.84,26.17,33.38,5.72,24.84,47.12
5.5,0,21.14,24.24,31.16,-0.68,19.06,37.85
5.6,0,19.41,21.59,27.44,-5.07,12.56,28.37
5.7,0,20.25,22.54,28.68,-16.21,8.16,24.78
5.8,0,21.44,23.41,30.01,-60.76,-0.5,20.51
5.9,0,21.29,23.63,30.03,-109.14,-7.44,18.86
6,0,20.66,23.25,29.52,-113.09,-10.76,13.02
6.1,0,20.53,22.95,28.97,-94.52,-12.07,6.28
6.2,0,20.31,22.16,28.17,-116.48,-18.28,2.69
6.3,0,19.93,21.8,27.67,-100.91,-13.04,5.93
6.4,0,20.34,21.79,28.08,-61.92,-5.36,6.68
6.5,0,20.08,21.24,27.15,-68.46,-9.92,0.75
6.6,0,19.39,20.38,25.12,-75.71,-7.05,3.68
6.7,0,19.62,19.92,24.55,-96.87,-11.57,2.17
6.8,0,19.75,19.17,23.37,-83.09,-9.3,2.68
6.9,0,18.49,17.89,21.26,-73.5,-7.73,2.48
7,0,17.97,18.6,21.58,-47.64,-1.53,5.02
7.1,0,19.48,20.56,25.56,-28.8,1.27,5.84
7.2,0,21.81,22.47,27.54,-26.34,1.94,6.19
7.3,0,23.59,23.22,28.27,-24.65,2.57,6.52
7.4,0,24.09,23.14,28.54,-34.91,0.88,6.48
7.5,0,23.98,23.72,29.05,-34.46,0.83,6.19
7.6,0,23.55,23.57,30.09,-40.33,-0.26,6.15
7.7,0,23.81,23.71,30.3,-18.54,4.73,8.43
7.8,0,24.04,23.75,29.25,13.82,11.03,10.64
7.9,0,24.45,23.66,28.77,5.35,8.41,9.24
8,0,24.84,23.79,32,4.77,8.38,9.26
8.1,0,24.73,23.49,29.43,12.75,9.52,9.46
8.2,0,24.75,23.63,26.76,-17.39,4.15,7.44
8.3,0,24.8,23.68,28.63,-43.77,-0.55,5.65
8.4,0,25.05,23.95,26.63,-11.83,7.04,8.92
8.5,0,24.96,23.53,28.89,34.77,15.29,12.16
8.6,0,24.67,22.9,28.04,23.96,13.09,11.21
8.7,0,25.07,23.44,29.26,20.73,11.56,10.21
8.8,0,25.14,23.55,29.6,34.52,13.69,10.29
8.9,0,25.26,23.49,28.92,22.21,12.56,11.63
9,0,25.54,23.83,29.69,-9.67,5.62,8
9.1,0,24.67,23.33,28.44,7.74,9.64,8.86
9.2,0,23.71,23.56,29.4,28.59,12.83,11.17
9.3,0,23.32,23.42,29.93,23.41,11.22,10.15
9.4,0,24.46,23.54,29.4,9.51,8.33,8.78
9.5,0,25.03,23.55,28.21,-15.66,4.1,7.6
9.6,0,25.45,23.78,30.51,-16.73,4.31,7.81
9.7,0,25.64,23.73,30.55,-4.89,7.05,8.72
9.8,0,25.59,23.79,30.41,6.26,9.27,9.52
9.9,0,25.52,23.94,29.25,29.45,13.11,11.18
10,0,25.62,23.9,30.6,26.29,12.62,11.11
10.1,0,25.37,23.46,29.59,9.11,9.53,9.42
10.2,0,25.31,23.68,29.16,-0.88,7.3,8.89
10.3,0,25.3,23.41,29.08,2.39,8.32,9.23
10.4,0,25.52,23.8,29.49,8.49,10.78,11.13
10.5,0,24.92,23.59,28.6,22.65,12.84,10.8
10.6,0,25.02,23.83,29.56,37.57,15.03,11.37
10.7,0,24.13,23.41,29.45,26.37,13.12,10.89
10.8,0,24.01,23.55,29.19,9.9,9.54,9.21
10.9,0,23.5,23.41,28.62,7.9,9.05,9.12
11,0,23.03,23.31,29.45,18.22,12.27,11.06
11.1,0,22.61,22.31,28.1,7.67,8.99,9.23
11.2,0,21.53,21.27,26.21,9.16,8.88,9.14
11.3,0,20.12,20.16,14.21,15.04,10,9.55
11.4,0,18.79,19.07,20.27,17.58,10.69,10.1
11.5,0,16.27,18.33,33.63,5.52,8.35,9.11
11.6,0,15.21,17.91,22.41,-2.59,6.76,7.61
11.7,0,13.94,17.08,22.71,10.48,9.65,9.49
11.8,0,14.49,16.72,17.16,10.6,9.02,8.85
11.9,0,15.64,16.98,15.86,5.4,7.18,8.47
12,0,14.15,16.31,20.03,9.83,8.18,9.15
12.1,0,9,14.57,16.07,-3.15,5.16,7.51
12.2,0,8.83,14.49,16.22,-32.15,-0.82,5.07
12.3,0,11.24,14.61,17.38,-49.79,-4.09,4.2
12.4,0,12.68,14.92,18.71,-44.04,-2.49,5.34
12.5,0,13.05,14.76,17.84,-17.33,3.2,6.65
12.6,0,13.82,14.75,17.61,2.54,7.08,8.37
12.7,0,13.39,14.6,17.39,9.49,8.56,8.75
12.8,0,12.5,14.07,17.31,8.63,8.21,8.48
12.9,0,12.52,13.72,16.98,-8.95,4.6,7.13
13,0,12.67,13.52,16.7,-18.93,3.26,6.61
13.1,0,13.17,13.96,16.79,-21.87,3.39,7.09
13.2,0,13.34,14.03,16.33,13.12,10.34,8.96
