x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,18.59,2.11,15.54,4.4,22.92,6.5,10.01,23.3,1.3,10.4,
0,0,18.73,2.12,15.3,4.48,23.54,7.34,9.29,24.23,1.6,13,
0,0,18.72,2.13,15.62,4.37,23.49,6.85,9.27,24.17,1.6,13.8,
0,0,19.05,2.14,16.09,4.47,24.15,6.65,9.54,24.85,1.6,14,
0,0,18.99,2.13,16.02,4.41,24.02,6.66,9.48,24.72,1.6,14,
0,0,18.93,2.12,15.85,4.33,23.57,6.34,10.3,23.96,1.3,10.2,
0,0,18.52,2.12,15.34,4.42,22.68,6.53,9.91,23.05,1.3,10.7,
0,0,18.87,2.11,15.83,4.41,23.28,7.21,10.17,23.66,1.3,10.2,
0,0,18.43,2.11,15.36,4.39,20.43,9.25,12.87,19.22,1,9.3,
0,0,18.5,2.1,15.77,4.36,25.63,5.98,7.64,31.76,2,11.9,
0,0,18.66,2.1,15.58,4.4,22.12,6.91,13.66,25.18,2.7,12.5,
0,0,18.35,2.11,15.48,4.35,23.59,7.2,9.31,24.28,1.6,14,
0,0,18.47,2.13,15.74,4.46,23.2,7.07,10.13,23.58,1.3,9.7,
0,0,18.45,2.14,16.05,4.49,23.61,6.55,10.31,24,1.3,10,
0,0,18.9,2.13,17.1,4.5,26.44,6.53,7.89,32.76,2,11.7,
0,0,19.3,2.17,17.69,4.53,27.13,7.22,8.09,33.62,2,11.9,
0,0,18.7,2.24,16.63,4.49,25.72,7.18,7.67,31.87,2,12,
0,0,19,2.31,17.22,4.58,26.99,7.13,8.05,33.44,2,11.3,
0,0,19.42,2.35,17.21,4.61,25.76,6.85,10.17,26.51,1.6,16,
0,0,19.19,2.3,17.15,4.57,24.93,6.74,10.89,25.34,1.3,10.3,
0,0,19.72,2.22,17.65,4.55,25.84,6.97,11.29,26.27,1.3,11.1,
0,0,20.31,2.24,19.08,4.62,27.87,7.28,9.95,38.75,2.5,8.9,
0,0,20.43,2.41,19.26,4.71,28.74,7.23,10.52,61.59,3.8,9,
0,0,23.62,2.83,19.87,4.92,29.51,7.43,14.76,44.27,3.2,10.8,
0,0,26.73,2.88,22.31,5.05,30.9,7.85,19.4,34.12,2.4,12.1,
0,0,27.13,2.66,22.13,4.91,30.43,7.36,19.11,33.6,2.4,11.5,
0,0,26.83,2.47,21.91,4.72,29.7,7.02,18.65,32.79,2.4,12.5,
0,0,27.12,2.45,21.95,4.66,28.72,7.11,19.75,31.11,2.1,10.2,
0,0,27.41,2.49,21.83,4.58,29.2,6.84,18.34,32.24,2.4,14.3,
0,0,27.55,2.56,21.79,4.56,28.4,6.67,30.42,23.26,0.6,11.2,
0,0,28.96,2.64,23.16,4.62,28.37,7,30.39,23.24,0.6,10.5,
0,0,30.82,2.65,25.76,4.71,31.01,7.35,29.44,26.58,1.1,10.1,
0,0,31.18,2.64,26.48,4.56,31,6.53,30.45,27.22,1.5,6.1,
0,0,31.44,2.61,27.76,4.57,32.99,6.97,31.32,28.28,1.1,11.6,
0,0,31.12,2.54,28.15,4.45,33.5,6.88,23.03,36.29,2.1,9.1,
0,0,29.28,2.5,25.68,4.19,30.1,6.28,29.56,26.43,1.5,7.1,
0,0,29.58,2.43,26.88,4.13,32.7,6.59,22.48,35.42,2.1,7.7,
0,0,29.74,2.37,27.25,4.11,33.52,6.99,23.05,36.31,2.1,6.9,
0,0,28.8,2.28,26.77,4.02,32.43,6.52,22.3,35.13,2.1,7.6,
0,0,25.17,2.07,22.43,3.57,25.8,5.49,27.53,22.11,0.6,6.1,
0,0,26.07,2,24.6,3.65,28.1,5.65,20.77,31.87,3,4.8,
0,0,26.97,2.02,26.36,3.77,30.97,6.04,22.86,35.21,2.3,4.9,
0,0,27.36,2.02,27.56,3.63,32.22,6.18,23.78,36.63,2.3,5.3,
