x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1
0,0,18.59,15.54,22.92
0.1,0,18.73,15.3,23.54
0.2,0,18.72,15.62,23.49
0.3,0,19.05,16.09,24.15
0.4,0,18.99,16.02,24.02
0.5,0,18.93,15.85,23.57
0.6,0,18.52,15.34,22.68
0.7,0,18.87,15.83,23.28
0.8,0,18.43,15.36,20.43
0.9,0,18.5,15.77,25.63
1,0,18.66,15.58,22.12
1.1,0,18.35,15.48,23.59
1.2,0,18.47,15.74,23.2
1.3,0,18.45,16.05,23.61
1.4,0,18.9,17.1,26.44
1.5,0,19.3,17.69,27.13
1.6,0,18.7,16.63,25.72
1.7,0,19,17.22,26.99
1.8,0,19.42,17.21,25.76
1.9,0,19.19,17.15,24.93
2,0,19.72,17.65,25.84
2.1,0,20.31,19.08,27.87
2.2,0,20.43,19.26,28.74
2.3,0,23.62,19.87,29.51
2.4,0,26.73,22.31,30.9
2.5,0,27.13,22.13,30.43
2.6,0,26.83,21.91,29.7
2.7,0,27.12,21.95,28.72
2.8,0,27.41,21.83,29.2
2.9,0,27.55,21.79,28.4
3,0,28.96,23.16,28.37
3.1,0,30.82,25.76,31.01
3.2,0,31.18,26.48,31
3.3,0,31.44,27.76,32.99
3.4,0,31.12,28.15,33.5
3.5,0,29.28,25.68,30.1
3.6,0,29.58,26.88,32.7
3.7,0,29.74,27.25,33.52
3.8,0,28.8,26.77,32.43
3.9,0,25.17,22.43,25.8
4,0,26.07,24.6,28.1
4.1,0,26.97,26.36,30.97
4.2,0,27.36,27.56,32.22
4.3,0,27.92,28.2,33.81
4.4,0,28.68,28.8,34.55
4.5,0,29.17,30.11,35.07
4.6,0,29.39,30.01,35.26
4.7,0,28.95,30.29,36.42
4.8,0,28.24,29.76,35.8
4.9,0,25.98,26.72,31.84
5,0,23.67,24.95,30.2
5.1,0,24.24,26.03,32.37
5.2,0,24.24,26.71,33.58
5.3,0,23.17,25.86,32.8
5.4,0,22.84,26.17,33.38
5.5,0,21.14,24.24,31.16
5.6,0,19.41,21.59,27.44
5.7,0,20.25,22.54,28.68
5.8,0,21.44,23.41,30.01
5.9,0,21.29,23.63,30.03
6,0,20.66,23.25,29.52
6.1,0,20.53,22.95,28.97
6.2,0,20.31,22.16,28.17
6.3,0,19.93,21.8,27.67
6.4,0,20.34,21.79,28.08
6.5,0,20.08,21.24,27.15
6.6,0,19.39,20.38,25.12
6.7,0,19.62,19.92,24.55
6.8,0,19.75,19.17,23.37
6.9,0,18.49,17.89,21.26
7,0,17.97,18.6,21.58
7.1,0,19.48,20.56,25.56
7.2,0,21.81,22.47,27.54
7.3,0,23.59,23.22,28.27
7.4,0,24.09,23.14,28.54
7.5,0,23.98,23.72,29.05
