x,y,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
0,0,83.54,84.94,110.12
0.1,0,83.52,82.44,108.94
0.2,0,84.43,81.41,109.15
0.3,0,85.17,80.09,109.34
0.4,0,85.64,79.99,108.81
0.5,0,85.49,76.98,107.8
0.6,0,60.28,67.59,112.93
0.7,0,61.35,69.75,111.43
0.8,0,63.8,72.23,113.45
0.9,0,64.23,73.01,111.94
1,0,64.65,72.61,111.4
1.1,0,65.92,73.37,113.91
1.2,0,66.29,73.68,114.11
1.3,0,63.72,70.67,110.88
1.4,0,62.79,69.72,110.4
1.5,0,63.79,71.19,112.79
1.6,0,65.24,73.1,116.05
1.7,0,66,74.37,117.52
1.8,0,64.25,72.38,115.64
1.9,0,64.81,73.08,117.16
2,0,64.51,72.62,117.22
2.1,0,64.1,72.23,116.66
2.2,0,62.92,70.47,114.36
2.3,0,62.57,70.04,113.81
2.4,0,62.66,70.13,112.84
2.5,0,63.05,70.56,112.68
2.6,0,63.47,71.14,113.84
2.7,0,63.57,71.07,113.72
2.8,0,64.29,71.8,114.98
2.9,0,64.11,72.2,115.25
3,0,63.31,71.04,113.41
3.1,0,62.27,69.63,112.13
3.2,0,61.9,68.91,110.79
3.3,0,61.88,68.75,109.77
3.4,0,61.5,68.08,108.65
3.5,0,62.54,69.42,109.84
3.6,0,61.68,68.52,107.97
3.7,0,62.1,68.88,109.14
3.8,0,61.48,68.99,109.83
3.9,0,60.96,68.42,110.31
4,0,60.32,67.94,111.02
4.1,0,61.59,67.34,116.6
4.2,0,61.52,63.27,117.25
4.3,0,61.45,69.55,117.56
4.4,0,59.24,68.45,114.3
4.5,0,58.42,67.15,111.6
4.6,0,59.2,67.13,110.77
4.7,0,60.81,68.95,112.68
4.8,0,62.13,70.59,113.76
4.9,0,63.17,70.9,112.48
5,0,63.92,71.14,110.9
5.1,0,62.41,68.16,106.25
5.2,0,64.93,70.88,108.31
5.3,0,29.01,35.97,62.84
5.4,0,31.67,38.94,66.25
5.5,0,31.57,37.6,64.52
5.6,0,31.57,37.08,63.94
5.7,0,31.29,36.29,62.13
5.8,0,31.49,36.95,62.85
5.9,0,31.95,37.87,62.94
6,0,30.34,35.37,60.95
6.1,0,26.76,31.26,51.54
6.2,0,34.13,38.38,62.93
6.3,0,35.02,39.6,63.66
6.4,0,32.62,37.62,61.83
6.5,0,31.12,36.07,61.94
6.6,0,32.16,35.87,59.57
6.7,0,33.76,34.63,55.68
6.8,0,32.33,31.29,50.1
6.9,0,28.45,30.21,50.02
7,0,18.66,32.14,56.23
7.1,0,18.27,43.9,73.78
7.2,0,7.31,39.79,67.6
7.3,0,-6.27,30.93,57.13
7.4,0,-13.38,26.54,51.98
7.5,0,-5.16,27.53,50.4
7.6,0,-1.62,28.89,51.51
7.7,0,3.83,38.17,65.54
7.8,0,16.92,50.11,79.3
7.9,0,25.53,49.13,77.45
8,0,18.14,40.66,67.39
8.1,0,20.4,40.73,68.14
8.2,0,44.49,55.05,81.53
8.3,0,48.81,55.18,79.36
8.4,0,48.02,52,75.98
8.5,0,43.26,47.55,70.55
8.6,0,32.01,30.77,49.75
8.7,0,27.15,26.82,45.58
8.8,0,22.14,27.8,48.97
8.9,0,15.53,25.75,46.94
9,0,14.59,23.49,43.5
9.1,0,15.91,25.22,47.99
9.2,0,14.64,26.84,49.66
9.3,0,14.76,28.29,51.99
9.4,0,12.09,26.85,48.98
9.5,0,5.72,24.84,47.12
9.6,0,-0.68,19.06,37.85
9.7,0,-5.07,12.56,28.37
9.8,0,-16.21,8.16,24.78
9.9,0,-60.76,-0.5,20.51
10,0,-109.14,-7.44,18.86
10.1,0,-113.09,-10.76,13.02
10.2,0,-94.52,-12.07,6.28
10.3,0,-116.48,-18.28,2.69
10.4,0,-100.91,-13.04,5.93
10.5,0,-61.92,-5.36,6.68
10.6,0,-68.46,-9.92,0.75
10.7,0,-75.71,-7.05,3.68
10.8,0,-96.87,-11.57,2.17
10.9,0,-83.09,-9.3,2.68
11,0,-73.5,-7.73,2.48
11.1,0,-47.64,-1.53,5.02
11.2,0,-28.8,1.27,5.84
11.3,0,-26.34,1.94,6.19
11.4,0,-24.65,2.57,6.52
11.5,0,-34.91,0.88,6.48
11.6,0,-34.46,0.83,6.19
11.7,0,-40.33,-0.26,6.15
11.8,0,-18.54,4.73,8.43
11.9,0,13.82,11.03,10.64
12,0,5.35,8.41,9.24
12.1,0,4.77,8.38,9.26
12.2,0,12.75,9.52,9.46
12.3,0,-17.39,4.15,7.44
12.4,0,-43.77,-0.55,5.65
12.5,0,-11.83,7.04,8.92
12.6,0,34.77,15.29,12.16
12.7,0,23.96,13.09,11.21
12.8,0,20.73,11.56,10.21
12.9,0,34.52,13.69,10.29
13,0,22.21,12.56,11.63
13.1,0,-9.67,5.62,8
13.2,0,7.74,9.64,8.86
13.3,0,28.59,12.83,11.17
13.4,0,23.41,11.22,10.15
13.5,0,9.51,8.33,8.78
13.6,0,-15.66,4.1,7.6
13.7,0,-16.73,4.31,7.81
13.8,0,-4.89,7.05,8.72
13.9,0,6.26,9.27,9.52
14,0,29.45,13.11,11.18
14.1,0,26.29,12.62,11.11
14.2,0,9.11,9.53,9.42
14.3,0,-0.88,7.3,8.89
14.4,0,2.39,8.32,9.23
14.5,0,8.49,10.78,11.13
14.6,0,22.65,12.84,10.8
14.7,0,37.57,15.03,11.37
14.8,0,26.37,13.12,10.89
14.9,0,9.9,9.54,9.21
15,0,7.9,9.05,9.12
15.1,0,18.22,12.27,11.06
15.2,0,7.67,8.99,9.23
15.3,0,9.16,8.88,9.14
15.4,0,15.04,10,9.55
15.5,0,17.58,10.69,10.1
15.6,0,5.52,8.35,9.11
15.7,0,-2.59,6.76,7.61
15.8,0,10.48,9.65,9.49
15.9,0,10.6,9.02,8.85
16,0,5.4,7.18,8.47
16.1,0,9.83,8.18,9.15
16.2,0,-3.15,5.16,7.51
16.3,0,-32.15,-0.82,5.07
16.4,0,-49.79,-4.09,4.2
16.5,0,-44.04,-2.49,5.34
16.6,0,-17.33,3.2,6.65
16.7,0,2.54,7.08,8.37
16.8,0,9.49,8.56,8.75
16.9,0,8.63,8.21,8.48
17,0,-8.95,4.6,7.13
17.1,0,-18.93,3.26,6.61
17.2,0,-21.87,3.39,7.09
17.3,0,13.12,10.34,8.96
17.4,0,21.93,11.6,10.1
17.5,0,14.8,9.25,8.89
17.6,0,12.41,8.86,8.62
17.7,0,-6.58,4.37,6.83
17.8,0,-25.53,0.72,6.18
17.9,0,-38.19,-1.38,5.17
18,0,-18.38,2.34,6.83
18.1,0,-12.45,3.08,7.12
18.2,0,-6.56,3.98,6.99
18.3,0,-23.75,0.08,5.21
18.4,0,-52.08,-5.3,3.61
18.5,0,-63.25,-6.62,3.26
18.6,0,-53.69,-4.73,3.86
18.7,0,-19.84,1.85,6.08
18.8,0,-5.04,4.32,7.16
18.9,0,-3.03,4.01,6.62
19,0,-7.71,3.31,6.65
19.1,0,-29.81,-2.1,4.53
19.2,0,-59.9,-8.3,1.73
19.3,0,-89.01,-13.55,0.15
19.4,0,-82.02,-10.73,2.45
19.5,0,-44.12,-3.22,4.95
19.6,0,-30.62,-1.83,4.23
19.7,0,-30.85,-1.59,4.42
19.8,0,-48.75,-4.93,3.97
19.9,0,-68.65,-9.33,2.09
20,0,-88.19,-12.76,0.22
20.1,0,-72.17,-8.91,2
20.2,0,-21.29,0.65,5.16
20.3,0,-14.52,1.8,5.8
20.4,0,-16.51,1.44,5.52
20.5,0,-40.97,-4.05,3.51
20.6,0,-62.26,-8.17,2.21
20.7,0,-83.34,-11.87,0.73
20.8,0,-58.35,-7.01,2.03
20.9,0,-29.44,-1.68,4.31
21,0,-23.63,-0.38,4.41
21.1,0,-31.52,-2.17,4.05
21.2,0,-47.07,-5.78,2.81
21.3,0,-59.59,-7.45,2.81
21.4,0,-73.51,-10.3,2
21.5,0,-53.65,-7.54,1.88
21.6,0,-36.31,-3.23,4.24
21.7,0,-29.06,-2.59,4.05
21.8,0,-54.74,-7.85,2.01
21.9,0,-91.42,-15.29,-0.59
22,0,-114.99,-18.77,-1.95
22.1,0,-90.17,-13.82,0.21
22.2,0,-32.47,-2.51,3.98
22.3,0,-14.17,1.19,5.05
22.4,0,-8.85,2.36,5.26
22.5,0,-4.36,2.99,5.35
22.6,0,-38.75,-4.02,2.77
22.7,0,-61.57,-8.67,1.51
22.8,0,-52.61,-5.85,3.16
22.9,0,-43.62,-3.92,3.82
23,0,-20,-0.24,4.29
