x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,59.86,-0.53,61.79,-0.38,76.85,1.94,18.83,228.04,2.4,5.8,
0,0,59.75,-0.52,61.53,-0.35,76.39,2.17,18.72,226.67,2.4,5.7,
0,0,60.73,-0.51,62.85,-0.31,77.87,2.28,19.08,231.07,2.4,6,
0,0,61.03,-0.42,61.7,-0.25,76.21,2.2,18.67,226.14,2.4,5.6,
0,0,60.84,-0.39,61.33,-0.2,75.86,2.29,18.59,225.1,2.4,5.6,
0,0,62.23,-0.31,61.68,-0.03,76.26,2.43,18.69,226.29,2.4,6.2,
0,0,65.88,0,62.58,0.28,76.46,2.7,26.16,234.31,2.7,9.8,
0,0,71.11,0.49,64.34,0.81,78.22,3.39,26.76,239.7,2.7,9.6,
0,0,71.89,0.88,64.94,1.2,78.89,3.92,26.99,241.75,2.7,9.8,
0,0,64.46,1.34,63.15,1.95,78.32,5.41,19.19,232.4,2.4,6.5,
0,0,56.38,1.59,60.11,2.12,76.07,4.76,4.89,388.71,3,4.4,
0,0,57.88,1.72,59.84,2.3,75.19,5,18.42,223.11,2.4,5.8,
0,0,61.76,2.15,56.71,2.78,68.87,5.1,23.56,211.05,2.7,8.5,
0,0,57.14,2.23,53.4,2.89,65.5,5.14,22.41,200.72,2.7,8.7,
0,0,49.07,1.96,51.55,2.66,64.47,5.04,15.8,191.3,2.4,5.9,
0,0,44.77,2,45.81,2.68,57.24,4.88,14.03,169.85,2.4,5.8,
0,0,49.83,2.56,39.79,3.21,46.42,4.75,55.31,22.32,2.5,8.9,
0,0,51.7,2.83,35.69,3.45,39.24,4.64,79.06,15.65,0.8,11,
0,0,54.74,2.71,35.17,3.37,38.59,4.67,285.86,20.56,0.1,11.7,
0,0,48.02,2.05,32.25,2.56,35.87,3.63,265.72,19.11,0.1,12.4,
0,0,36.44,1.08,27.84,1.41,31.68,2.26,41.77,18.29,1.4,7.7,
0,0,29.68,0.8,25.32,1.05,28.56,1.64,27.11,25.31,1.2,6.4,
0,0,32.2,1.08,25.98,1.47,29.12,2.43,38.39,16.81,1.4,7.4,
0,0,28.9,1.35,24.39,1.79,27.25,2.81,25.87,24.15,1.2,6.8,
0,0,23.94,1.22,19.74,1.4,21.44,1.3,31.25,14.23,0.8,7.9,
0,0,26.19,1.35,18.74,1.75,19.6,1.96,137.46,8.83,0.2,10.2,
0,0,24.66,0.96,18.69,1.24,20.14,1.5,48.83,11.34,0.4,11.2,
0,0,15.17,-0.48,18.52,-0.52,21.63,0.02,4.45,51.24,2.5,5.3,
0,0,14.72,-0.23,15.88,-0.21,18.57,0.06,5.72,27.41,1.5,3,
0,0,26.69,1.29,16.14,1.64,16.1,1.83,192.99,4.77,0.1,9.9,
0,0,27.06,1.59,15.54,1.99,14.99,2.21,293.17,2.13,0.1,12.5,
0,0,18.65,1.04,14.79,1.31,15.68,1.63,25.38,10.88,0.5,10.1,
0,0,13.66,0.77,14.22,0.89,15.89,1.14,8.67,17.99,1.1,3.7,
0,0,3.74,0.2,11.68,0.2,14.29,0.3,1.2,600.22,10.4,42.1,
0,0,0.38,0.35,10.43,0.47,14.36,0.79,-1,-1,-1,-1,
0,0,5.5,0.79,10.78,1.07,13.04,1.17,0.55,61.32,4.8,23.6,
0,0,29.97,2.33,14.31,2.86,12.96,2.87,725.23,0.33,0,14.1,
0,0,28.31,2.54,14.3,3.06,13.03,3.17,729.15,0.33,0,14.2,
0,0,23.35,2.16,13.97,2.65,13.25,2.88,258.98,2,0.1,12.5,
0,0,21.86,2.06,13.86,2.53,12.63,2.64,234.07,0.95,0.1,7.9,
0,0,18.01,1.98,12.24,2.37,11.1,2.32,126.87,2.69,0.1,5.8,
0,0,10.43,1.55,10.78,1.84,11.12,1.73,7.07,11.17,0.6,5.1,
0,0,9.27,1.39,10.13,1.77,10.66,1.7,6.78,10.7,0.6,5.3,
0,0,22.43,2.11,12.43,2.63,11.17,2.46,368.7,0.56,0.1,9.9,
0,0,24.71,2.44,12.89,2.92,11.48,2.77,642.41,0.29,0,13.5,
0,0,18.18,2.13,11.94,2.51,11.51,2.61,153.12,3.37,0.1,9.5,
0,0,20.72,2.19,12.03,2.63,10.68,2.55,352.53,0.54,0.1,10.7,
0,0,16.78,1.82,11.26,2.14,10.48,2.02,119.78,2.54,0.1,6.7,
0,0,-2.2,0.51,8.02,0.48,9.59,0.23,-1,-1,-1,-1,
0,0,-9.2,-0.1,5.68,-0.21,8.32,-0.52,-1,-1,-1,-1,
0,0,0.13,0.32,6.82,0.31,8.35,-0.09,-1,-1,-1,-1,
0,0,10.62,1.36,8.65,1.55,9.04,1.48,22.52,6.41,0.2,5.1,
0,0,6.76,1.43,8.08,1.64,8.91,1.67,1.89,10.84,0.9,3.2,
0,0,-9.17,0.36,4.42,0.27,7.59,-0.06,-1,-1,-1,-1,
0,0,-24.2,-0.65,1.19,-0.97,6.43,-1.43,-1,-1,-1,-1,
0,0,-22.73,-0.65,1.47,-0.9,6.66,-1.35,-1,-1,-1,-1,
0,0,18.41,1.62,8.95,1.98,8.78,1.76,336.66,0.41,0,15.3,
0,0,38.54,3.25,13.28,3.93,9.52,3.8,1974,0.11,0,30.3,
0,0,28.5,2.72,11.96,3.31,9.26,3.34,1334.08,0.11,0,23.8,
0,0,36.95,2.94,14.4,3.61,10.86,3.72,1894.93,0.09,0,30.6,
0,0,31.65,2.67,13.36,3.27,10.07,3.25,1450.78,0.12,0,24.8,
0,0,25.26,2.14,12.19,2.57,9.77,2.45,728.12,0.23,0,14.6,
0,0,27.77,2.16,12.7,2.62,10.01,2.31,1087.86,0.12,0,18.6,
0,0,34.61,2.82,13.85,3.44,10.61,3.39,1440.72,0.18,0,25,
0,0,32.18,2.79,13.41,3.38,10.41,3.47,1413.57,0.17,0,24.3,
0,0,30.83,2.64,13.46,3.22,10.17,3.34,1465.18,0.12,0,26,
0,0,28.24,2.45,12.83,3.05,9.68,3.19,1052,0.11,0,20.1,
0,0,33.28,2.62,13.76,3.22,10.18,3.42,1262.62,0.12,0,22.6,
0,0,34.03,2.62,14.04,3.18,10.23,3.37,1371.15,0.17,0,22.7,
0,0,45.44,3.26,16.02,3.99,11.21,4.11,2471.03,0.09,0,30.5,
0,0,50.48,3.58,17.2,4.41,10.93,4.35,2967.26,0.09,0,34,
0,0,43.31,3.08,16,3.78,11.15,3.73,2457.8,0.09,0,30.7,
0,0,14.36,1.49,10.38,1.72,9.11,1.47,113.28,2.26,0.1,4.8,
0,0,11.74,1.33,8.9,1.55,8.66,1.2,77.41,3.89,0.1,8.3,
0,0,23.78,1.91,10.98,2.23,9.16,2.03,682.66,0.22,0,15.9,
0,0,18.02,1.59,10.05,1.77,9.13,1.64,319.24,0.43,0.1,10.1,
0,0,-3.81,0.44,5.52,0.44,7.61,0.14,-1,-1,-1,-1,
0,0,-3.07,0.47,5.38,0.55,7.12,0.27,-1,-1,-1,-1,
0,0,-4.88,0.39,5.24,0.39,7.32,0.23,-1,-1,-1,-1,
0,0,7.52,1.37,8.08,1.54,8.82,1.44,5.52,11.98,2.8,4.5,
0,0,19.07,2.13,10.56,2.55,9.9,2.32,346.17,0.47,0.1,12.1,
0,0,40.78,3.22,15.18,3.97,11.4,4.11,1989.15,0.1,0,29.5,
0,0,42.04,3.09,16.51,3.83,12.44,4.03,2170.62,0.1,0,30.5,
0,0,10.67,0.92,10.4,1.1,9.86,0.94,24.57,6.99,0.2,5.2,
0,0,2.75,0.22,8.21,0.25,9,0.11,0.32,38.9,4.8,36.1,
0,0,11.52,0.89,10.18,1.1,9.6,1.21,49.2,5.67,0.2,7.7,
0,0,26.03,2.17,13.04,2.59,11.07,2.47,619.47,0.28,0,15.7,
0,0,35.96,2.94,14.67,3.55,11.54,3.62,1567.01,0.19,0,22.9,
0,0,45.79,3.24,17.52,3.98,12.94,4.28,2242.16,0.11,0,25.9,
0,0,32.54,2.4,14.92,2.95,11.7,2.99,1178.46,0.2,0,17.9,
0,0,20.54,1.64,12.68,1.98,11,1.73,203.86,0.83,0.1,9,
0,0,17.36,1.53,11.93,1.76,10.7,1.73,122.29,2.6,0.1,5.7,
0,0,15.24,1.42,11.59,1.65,10.98,1.46,87.37,4.96,0.1,8.8,
0,0,26.11,2.14,13.27,2.51,11.87,2.42,664.23,0.3,0,12.7,
0,0,15.23,1.67,11.11,1.91,10.72,1.87,85.3,4.84,0.1,8.1,
0,0,-1.67,0.54,7.53,0.55,9.7,0.47,-1,-1,-1,-1,
0,0,-9.11,0.27,6.26,0.33,9.27,-0.02,-1,-1,-1,-1,
0,0,4.25,1.13,9.49,1.4,10.61,1.31,0.44,46.7,4.4,24,
0,0,14.08,1.8,9.31,2.1,8.06,1.94,163.42,0.95,0.1,7.6,
0,0,22.49,2.32,12.55,2.81,10.85,2.95,358.14,0.54,0.1,11.9,
0,0,24.77,2.44,13.01,2.94,10.79,2.95,588.18,0.27,0,12,
0,0,31.69,2.64,14.76,3.13,11.9,2.96,1198.6,0.2,0,19.3,
0,0,14.46,1.77,10.25,2.19,8.56,1.99,181.55,0.71,0.1,5.4,
0,0,5.24,1.08,9.56,1.43,9.76,1.47,0.92,15.67,1.5,16.6,
0,0,9.12,1.18,10.45,1.42,9.96,1.21,5.76,9.64,0.4,4.7,
0,0,21.26,2.07,12.61,2.43,11.19,2.29,369.36,0.56,0.1,11.2,
0,0,30.5,2.7,14.31,3.27,11.47,3.35,1155.29,0.19,0,19.4,
0,0,51.02,3.58,19.04,4.4,13.27,4.55,2925.11,0.11,0,31.2,
0,0,52.05,3.6,19.25,4.46,13.57,4.63,2991.24,0.11,0,31,
0,0,47.2,3.23,18.52,4,13.07,3.86,2264.69,0.11,0,25.3,
0,0,46.5,3.16,18.52,3.91,12.98,3.91,2249.09,0.11,0,25.2,
0,0,33.52,2.61,16.01,3.13,12.22,3.24,1230.83,0.2,0,19.3,
0,0,19.76,2,12.49,2.3,11.01,2.16,204.05,0.83,0.1,7.2,
0,0,19.97,2.05,12.61,2.37,10.65,2.14,197.38,0.8,0.1,10.2,
0,0,14.28,1.56,11.76,1.85,11.13,1.88,50.19,6.61,0.2,6.8,
0,0,-4.05,0.52,7.77,0.6,9.49,0.4,-1,-1,-1,-1,
0,0,0.09,0.83,7.88,1.03,9.21,0.7,-1,-1,-1,-1,
0,0,9.11,1.14,9.91,1.36,9.71,1.1,5.62,9.4,0.4,4.6,
0,0,20.44,1.96,11.88,2.29,10.79,2.1,356.16,0.54,0.1,12,
0,0,23.51,2.35,12.33,2.8,11.04,2.58,617.79,0.28,0,14.3,
0,0,41.84,3.12,16.54,3.83,12.26,3.8,2124.34,0.1,0,26.9,
0,0,22.17,1.78,12.98,2.09,11.11,2.15,366.72,0.56,0.1,10.8,
0,0,4.99,0.72,9.18,0.83,9.68,0.73,1.37,23.21,2.8,20.9,
0,0,22.45,1.73,12.71,2.14,10.76,2.08,355.17,0.54,0.1,12.8,
0,0,42.58,3.09,16.81,3.78,12.34,3.77,2138.2,0.1,0,26.2,
0,0,31.64,2.79,15.09,3.37,11.68,3.28,1176.44,0.2,0,19.2,
0,0,33.98,2.77,15.34,3.38,11.61,3.25,1169.39,0.19,0,20.1,
0,0,53.76,3.59,19.31,4.33,13.26,4.42,2922.91,0.11,0,31.3,
0,0,24.32,1.56,14.02,1.79,11.65,1.71,409.11,0.39,0.1,8.2,
0,0,8.07,0.29,10.59,0.31,10,0.1,2.72,10.86,0.6,7.6,
0,0,18.93,0.77,12.24,0.97,10.39,0.72,192.56,0.78,0.1,9.3,
0,0,23.72,1.31,12.76,1.57,10.44,1.3,569.1,0.26,0,11.4,
0,0,18.52,1.25,11.6,1.49,10.47,1.29,194.04,0.79,0.1,7.4,
0,0,16.67,1.4,11.27,1.68,10.45,1.52,119.44,2.54,0.1,6.4,
0,0,4.21,0.52,8.58,0.6,9.29,0.39,0.44,30.83,3.8,19.7,
0,0,-5.82,0.11,6.37,0.03,8.59,-0.14,-1,-1,-1,-1,
0,0,-1.76,0.76,6.94,0.82,8.59,0.57,-1,-1,-1,-1,
0,0,23.25,2.16,11.66,2.68,10.34,2.42,578.62,0.26,0,13.3,
0,0,42.43,3.34,16.37,4.17,11.89,4.18,2060.22,0.1,0,25.1,
0,0,35.38,2.95,15.6,3.63,11.72,3.59,1591.45,0.2,0,25.4,
0,0,42.89,3.03,17.16,3.75,12.08,3.9,2093.15,0.1,0,24.4,
0,0,41.6,2.82,17.08,3.45,12.3,3.51,2131.27,0.1,0,26.2,
0,0,13.9,1.25,11.63,1.38,10.6,1.33,34.5,5.14,0.4,2.8,
0,0,-13.33,-0.38,6.16,-0.59,8.65,-0.84,-1,-1,-1,-1,
0,0,-14.32,-0.34,4.69,-0.43,7.24,-0.88,-1,-1,-1,-1,
0,0,-6.56,0.54,5.79,0.62,8.05,0.14,-1,-1,-1,-1,
0,0,-0.57,1.08,6.81,1.31,8.46,0.99,-1,-1,-1,-1,
0,0,-6.49,0.69,5.38,0.85,7.92,0.5,-1,-1,-1,-1,
0,0,-4.41,0.72,5.72,0.83,8.27,0.61,-1,-1,-1,-1,
0,0,-0.2,0.9,6.91,1.02,8.29,0.68,-1,-1,-1,-1,
0,0,20.81,2.13,11.2,2.59,9.95,2.47,347.91,0.47,0.1,11,
0,0,36.35,3.12,14.52,3.89,10.97,3.84,1489.61,0.18,0,25.8,
0,0,36.72,3.08,14.97,3.86,11.51,3.93,1562.93,0.19,0,23.7,
0,0,34.56,2.86,15.12,3.58,11.81,3.63,1189.54,0.2,0,18.9,
0,0,33.57,2.82,15.13,3.49,11.81,3.53,1189.54,0.2,0,18,
0,0,28.91,2.54,14.04,3.12,11.28,3.01,921.63,0.19,0,14.4,
0,0,40.39,2.95,16.32,3.54,11.61,3.64,2011.71,0.1,0,24.9,
0,0,28.88,2.32,14.12,2.69,11.05,2.75,902.83,0.18,0,15.4,
0,0,-6.59,0.24,6.61,0.13,8.48,-0.12,-1,-1,-1,-1,
0,0,-22.84,-0.89,3.22,-1.14,7.38,-1.67,-1,-1,-1,-1,
0,0,-23.2,-1.23,2.39,-1.54,6.94,-1.96,-1,-1,-1,-1,
0,0,-4.06,0.36,5.6,0.27,8.19,-0.24,-1,-1,-1,-1,
0,0,22.54,2.35,11.11,2.78,9.99,2.67,597.41,0.24,0,12.9,
0,0,27.03,2.8,12.17,3.31,10.28,3.31,747.54,0.26,0,20.3,
0,0,23.47,2.54,12.03,2.98,10.14,3.03,606.38,0.24,0,15.9,
0,0,25.37,2.5,12.76,3.03,10.76,3.08,602.12,0.27,0,16.2,
0,0,35.2,2.91,15.2,3.61,11.2,3.49,1501.16,0.19,0,20.8,
0,0,32.18,2.79,14.7,3.45,11.34,3.36,1142.2,0.19,0,18.6,
0,0,22.92,2.25,13.11,2.73,10.88,2.53,382.07,0.36,0.1,8.8,
0,0,28.62,2.5,13.75,3.02,10.96,2.87,895.48,0.18,0,15,
0,0,38.8,3.05,15.8,3.7,11.29,3.65,1956.26,0.09,0,25.6,
0,0,26.02,2.41,13.68,2.87,11.01,2.85,600.17,0.28,0,11.7,
0,0,13.35,1.62,10.97,1.94,10,1.64,72.27,3.9,0.2,4.9,
0,0,5.39,1.09,8.77,1.21,8.88,0.94,1.15,12.37,1.1,12.8,
0,0,5.47,1.21,8.83,1.35,9.22,1.04,0.87,14.81,1.5,17.3,
0,0,9.59,1.46,8.99,1.72,9.51,1.43,11.57,7.86,0.3,6.4,
0,0,20.23,2,11.33,2.35,10.27,2.2,338.99,0.52,0.1,10.9,
0,0,2.44,1.11,7.7,1.25,8.79,1.09,1.04,519,12,38.3,
0,0,-24.78,-0.6,2.37,-0.83,6.86,-1.35,-1,-1,-1,-1,
0,0,-28.01,-0.85,1.3,-1.14,6.63,-1.63,-1,-1,-1,-1,
0,0,-7.45,0.62,5.02,0.65,8.01,0.39,-1,-1,-1,-1,
0,0,4.15,1.39,7.18,1.56,8.28,1.35,0.49,26.11,3.6,15,
0,0,14.83,1.98,9.9,2.3,9.41,2.19,137.57,2.78,0.1,10,
0,0,9.84,1.83,8.82,2.11,8.32,1.79,20.73,5.9,0.2,5.6,
0,0,5.48,1.52,7.52,1.78,7.49,1.36,1.33,9.2,0.8,9.4,
0,0,-2.75,0.97,6.12,1.03,7.59,0.78,-1,-1,-1,-1,
0,0,-0.07,1.1,6.65,1.19,7.86,0.9,-1,-1,-1,-1,
0,0,6.3,1.43,8.15,1.66,8.67,1.4,1.13,13.31,1.5,5.6,
0,0,16.8,2.04,10.19,2.43,9.56,2.29,193.84,1.13,0.1,8.3,
0,0,11.46,1.83,9.38,2.08,9.17,1.98,47,5.41,0.2,5.1,
0,0,3.51,1.15,8.19,1.39,9.2,1.37,0.43,33.03,4.1,24.7,
0,0,-11.12,-0.01,5.21,-0.03,7.96,-0.33,-1,-1,-1,-1,
0,0,-9.1,0.07,5.07,0.04,7.66,-0.42,-1,-1,-1,-1,
0,0,6.55,0.87,8.18,1.09,8.76,0.84,1.14,13.45,1.5,6.3,
0,0,23.34,2.07,11.47,2.53,9.95,2.38,595.02,0.23,0,14.8,
0,0,7.19,1.31,8.87,1.49,9.04,1.31,2.46,9.82,0.6,5.8,
0,0,-19.16,-0.58,4.74,-0.92,9.48,-1.51,-1,-1,-1,-1,
0,0,-29.62,-1.2,1.32,-1.61,6.91,-2.06,-1,-1,-1,-1,
0,0,-21.29,-0.45,2,-0.69,6.57,-1.07,-1,-1,-1,-1,
0,0,-10.19,0.17,4.21,0.07,7.46,-0.39,-1,-1,-1,-1,
0,0,15.07,1.65,8.94,1.96,8.62,1.74,186.28,1.02,0.1,11.7,
0,0,27.47,2.58,11.72,3.11,10.1,2.95,1112.91,0.12,0,23.2,
0,0,7.85,1.35,8.53,1.57,9.12,1.38,5.71,12.39,2.8,4.9,
0,0,-13.59,-0.45,4.46,-0.61,7.66,-0.97,-1,-1,-1,-1,
0,0,-20.3,-0.97,2.67,-1.26,7.18,-1.73,-1,-1,-1,-1,
0,0,-12.1,-0.44,4,-0.56,7.01,-0.72,-1,-1,-1,-1,
0,0,15.82,1.47,9.07,1.93,8.68,2.13,187.58,1.03,0.1,12.3,
0,0,35.36,3.05,13.52,3.7,10.75,3.86,1459.73,0.18,0,24,
0,0,45.59,3.54,16.3,4.36,11.95,4.65,2634.15,0.1,0,31.5,
0,0,34.51,2.78,14.79,3.4,11.4,3.57,1548,0.19,0,24.7,
0,0,9.28,1.12,9.79,1.34,9.56,1.22,9.71,7.45,2,2,
0,0,9.41,0.94,9.63,1.15,9.28,0.95,9.42,7.23,2,1.8,
0,0,18.62,1.52,11.41,1.85,9.9,1.63,200.73,1.17,0.1,9,
0,0,37.57,2.88,14.65,3.57,11.23,3.58,1959.49,0.09,0,30.4,
0,0,50.98,3.66,17.31,4.53,12.12,4.66,2671.62,0.1,0,31.3,
0,0,30.34,2.38,14.05,2.85,11.74,2.95,959.21,0.2,0,15.8,
0,0,-14.05,-0.3,5.49,-0.5,8.49,-0.75,-1,-1,-1,-1,
0,0,-18.77,-0.8,3.72,-1.06,7.6,-1.55,-1,-1,-1,-1,
0,0,-4.81,-0.01,6.29,-0.09,8.29,-0.63,-1,-1,-1,-1,
0,0,11.5,1.5,8.64,1.73,8.96,1.38,45.92,5.29,0.2,6,
0,0,24.2,2.53,11.02,3.06,9.72,2.94,740.58,0.23,0,16.8,
0,0,26.38,2.64,11.79,3.21,10.01,3.13,762.68,0.24,0,20.1,
0,0,22.99,2.37,11.78,2.86,9.98,2.86,596.81,0.24,0,14.9,
0,0,19.85,2.13,11.26,2.64,9.98,2.61,348.96,0.47,0.1,9.5,
0,0,25.84,2.36,12.78,2.96,10.54,2.95,861.17,0.18,0,15.8,
0,0,30.66,2.76,13.54,3.41,11.1,3.49,1118.02,0.19,0,19.1,
0,0,24.5,2.49,12.79,3.04,10.73,3.09,584.91,0.27,0,12.2,
0,0,25.51,2.54,12.63,3.09,10.17,3.23,757.93,0.24,0,14.5,
0,0,38.56,3.04,16.56,3.81,13.55,4.28,1364.79,0.23,0,19.1,
0,0,19.6,2.05,11.59,2.42,9.92,2.43,346.87,0.47,0.1,10.9,
0,0,1.68,0.81,8.02,0.92,8.6,0.72,-1,-1,-1,-1,
0,0,8.59,0.48,9.24,0.57,9.19,0.33,5.32,8.9,0.4,3.9,
0,0,2.99,-0.26,8.03,-0.35,9.12,-0.63,0.32,39.42,4.8,35.6,
0,0,-3.43,-0.66,6.27,-0.84,8.06,-1.22,-1,-1,-1,-1,
0,0,0.74,-0.16,8.3,-0.18,10.68,-0.23,-1,-1,-1,-1,
0,0,-15.44,-1.25,3.61,-1.5,8.14,-1.74,-1,-1,-1,-1,
0,0,-21.79,-1.38,1.47,-1.75,6.21,-2.33,-1,-1,-1,-1,
0,0,-16.67,-1.12,2.24,-1.35,6.65,-1.83,-1,-1,-1,-1,
0,0,-5.99,-0.59,4.32,-0.66,7.49,-1.09,-1,-1,-1,-1,
0,0,-7.93,-0.63,3.69,-0.82,6.97,-1.3,-1,-1,-1,-1,
0,0,-9.85,-0.53,3.84,-0.71,6.93,-1.23,-1,-1,-1,-1,
0,0,-3.7,0.52,4.55,0.49,7.14,0,-1,-1,-1,-1,
0,0,-10.61,0.16,3.7,0.05,7.22,-0.43,-1,-1,-1,-1,
0,0,-16.06,-0.11,2.42,-0.25,6.89,-0.58,-1,-1,-1,-1,
0,0,-19.32,-0.2,1.8,-0.33,6.14,-0.3,-1,-1,-1,-1,
