x,y,elevation,HCP10.0f925h1,HCP20.0f925h1,VCP20.0f925h1,HCP40.0f925h1,VCP40.0f925h1
0,0,2670,2.42,0.24,2.76,10.43,0.32
3.2787,0,2669.4,2.0433,1.2667,2.58,10.43,1.29
6.5574,0,2668.8,2.746,1.288,1.712,8.41,1.718
9.8361,0,2668.2,3.558,1.328,2.014,7.7033,1.848
13.115,0,2667.6,4.934,1.306,2.022,7.3325,1.698
16.393,0,2667,4.818,0.906,1.496,7.66,1.422
19.672,0,2666.5,4.406,1.044,1.462,6.67,0.976
22.951,0,2666,5.366,1.118,1.902,6.092,0.968
26.23,0,2665.5,5.17,1.516,1.91,5.6,0.858
29.508,0,2665.5,4.176,1.94,1.992,5.284,1.352
32.787,0,2665.5,4.066,2.248,2.31,5.114,1.796
36.066,0,2665,4.218,2.704,2.358,5.99,1.744
39.344,0,2664.5,2.56,2.692,2.346,7.424,1.846
42.623,0,2664,1.52,2.296,1.742,7.498,2.354
45.902,0,2664,1.264,2.144,1.94,6.654,2.346
49.18,0,2664,1.052,1.94,2.002,6.122,1.996
52.459,0,2664,1.586,1.318,1.888,4.984,2.068
55.738,0,2664,1.77,1.1,1.57,3.164,2.288
59.016,0,2664,2.958,1.032,1.696,2.598,1.708
62.295,0,2664,3.228,0.882,1.258,3.814,1.728
65.574,0,2664,3.68,0.562,0.768,3.766,1.472
68.852,0,2664,3.172,0.662,1.044,3.804,1.662
72.131,0,2664.1667,4.066,0.618,1.204,4.51,1.026
75.41,0,2664.3334,4.198,0.924,1.156,5.344,1.396
78.689,0,2664.5001,4.46,1.324,1.676,5.03,0.866
81.967,0,2664.6668,4.212,1.738,1.67,5.092,1.032
85.246,0,2664.8335,5.922,1.978,1.518,6.03,0.984
88.525,0,2665,5.966,2.354,1.876,5.62,1.04
91.803,0,2664.5,4.676,2.168,1.654,4.506,1.158
95.082,0,2664.5,3.944,1.768,1.622,4.282,1.366
98.361,0,2665,7.982,1.572,1.91,3.584,1.5
101.64,0,2666.15,6.306,1.104,2.272,3.776,1.318
104.92,0,2667.3,6.832,0.734,1.838,4.554,1.186
108.2,0,2668.45,8.114,1.026,2.04,5.346,1.094
111.48,0,2669.6,9.364,1.058,1.952,6.17,1.45
114.75,0,2670.75,6.86,0.904,2.4,6.344,2.386
118.03,0,2671.9,7.562,0.982,2.152,5.862,3.008
121.31,0,2673.05,8.476,1.102,2.304,5.346,3.044
124.59,0,2674.2,7.908,0.958,2.07,5.276,2.86
127.87,0,2675.35,7.66,1.432,1.776,4.274,2.732
131.15,0,2676.5,6.208,2.276,1.184,4.878,1.464
134.43,0,2677.65,5.77,2.778,1.602,4.568,1.666
137.7,0,2678.8,2.91,3.286,1.58,4.094,1.926
140.98,0,2680,3.556,3.496,1.786,3.91,1.83
144.26,0,2680.3,3.284,3.228,1.538,4.25,2.114
147.54,0,2680.8,3.036,2.682,1.484,4.07,2.24
150.82,0,2681.747,3.928,2.382,0.95,4.354,1.732
154.1,0,2682.694,4.104,2.464,0.762,5.478,1.996
157.38,0,2683.641,4.64,2.654,0.5925,6.08,2.134
160.66,0,2684.588,5.302,3.074,0.595,6.116,1.876
163.93,0,2685.535,6.386,3.372,0.505,6.588,2.74
167.21,0,2686.482,5.436,3.344,0.345,6.722,2.978
170.49,0,2687.429,6.57,2.754,0.2575,6.134,3.078
173.77,0,2688.376,5.864,2.474,0.972,5.178,3.592
177.05,0,2689.323,4.944,1.91,1.728,5.224,3.262
180.33,0,2690.27,4.706,1.786,1.814,4.716,2.954
183.61,0,2691.217,4.7,1.846,2.052,4.716,2.955
186.89,0,2692.164,4.378,2.322,2.51,5.702,2.7667
190.16,0,2693.111,3.886,2.326,2.206,6.004,2.2
193.44,0,2694.058,5.294,2.74,1.416,6.134,0
196.72,0,2695.005,5.414,2.266,1.78,6.534,0
