,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,1.00,5.00,3.00,7.00,1007.59,0.03,0.00,-61.26,2234.597,41.804
,Mixed / non conventional,1.00,5.00,7.00,11.00,2343.87,0.05,0.00,16.05,-4158.511,41.804
,Mixed / non conventional,1.00,5.00,11.00,15.00,1168.93,0.80,0.00,-31.87,-296.274,41.804
,Mixed / non conventional,1.00,5.00,15.00,19.00,1449.42,2.72,0.00,22.35,-122.456,41.804
,Mixed / non conventional,1.00,5.00,19.00,23.00,1412.80,11.54,0.00,21.52,-54.255,41.804
,Mixed / non conventional,2.00,6.00,4.00,8.00,3191.76,0.05,0.00,-292.53,4470.569,26.402
,Mixed / non conventional,2.00,6.00,8.00,12.00,2945.28,0.02,0.00,135.73,-3300.267,26.402
,Mixed / non conventional,2.00,6.00,12.00,16.00,1861.96,0.04,0.00,-19.80,-298.054,26.402
,Mixed / non conventional,2.00,6.00,16.00,20.00,2393.31,0.05,0.00,47.32,-127.703,26.402
,Mixed / non conventional,2.00,6.00,20.00,24.00,1971.37,0.43,0.00,-19.07,-47.813,26.402
,Mixed / non conventional,3.00,7.00,1.00,5.00,1006.67,0.05,0.00,-296.06,1260.653,23.605
,Mixed / non conventional,3.00,7.00,5.00,9.00,1689.76,0.03,0.00,227.59,2116.085,23.605
,Mixed / non conventional,3.00,7.00,9.00,13.00,1737.44,0.00,0.00,-133.85,-1740.634,23.605
,Mixed / non conventional,3.00,7.00,13.00,17.00,1664.12,0.00,0.00,2.96,-238.169,23.605
,Mixed / non conventional,3.00,7.00,17.00,21.00,2381.32,0.00,0.00,42.90,-113.604,23.605
,Mixed / non conventional,3.00,7.00,21.00,25.00,2345.84,0.00,0.00,-55.84,-50.869,23.605
,Mixed / non conventional,4.00,8.00,2.00,6.00,3192.93,0.04,0.00,179.82,3695.991,21.819
,Mixed / non conventional,4.00,8.00,6.00,10.00,-262.16,0.05,0.00,-116.03,-303.460,21.819
,Mixed / non conventional,4.00,8.00,10.00,14.00,1055.01,0.03,0.00,15.41,-976.985,21.819
,Mixed / non conventional,4.00,8.00,14.00,18.00,1735.01,0.05,0.00,-10.54,-229.528,21.819
,Mixed / non conventional,4.00,8.00,18.00,22.00,2436.70,0.00,0.00,19.99,-107.452,21.819
,Mixed / non conventional,4.00,8.00,22.00,26.00,2501.82,0.03,0.00,-23.19,-50.147,21.819
,Mixed / non conventional,5.00,9.00,3.00,7.00,1688.08,0.03,0.00,282.44,1546.770,17.272
,Mixed / non conventional,5.00,9.00,7.00,11.00,1292.34,0.00,0.00,-141.89,1184.161,17.272
,Mixed / non conventional,5.00,9.00,11.00,15.00,731.79,0.03,0.00,-30.46,-536.424,17.272
,Mixed / non conventional,5.00,9.00,15.00,19.00,1664.65,0.03,0.00,22.39,-174.321,17.272
,Mixed / non conventional,5.00,9.00,19.00,23.00,3013.80,0.06,0.00,21.87,-105.201,17.272
,Mixed / non conventional,5.00,9.00,23.00,27.00,3181.62,0.00,0.00,-8.31,-50.481,17.272
,Mixed / non conventional,6.00,10.00,4.00,8.00,-260.76,0.17,0.00,-68.74,-102.590,7.416
,Mixed / non conventional,6.00,10.00,8.00,12.00,5480.85,0.07,0.00,-30.11,2156.301,7.416
,Mixed / non conventional,6.00,10.00,12.00,16.00,3395.96,0.08,0.00,-20.47,-1068.842,7.416
,Mixed / non conventional,6.00,10.00,16.00,20.00,4723.31,0.08,0.00,46.85,-212.373,7.416
,Mixed / non conventional,6.00,10.00,20.00,24.00,6774.57,0.06,0.00,-19.43,-101.534,7.416
,Mixed / non conventional,6.00,10.00,24.00,28.00,7322.26,0.10,0.00,-29.85,-49.883,7.416
,Mixed / non conventional,7.00,11.00,1.00,5.00,2301.48,0.11,0.00,-338.15,-211.771,2.168
,Mixed / non conventional,7.00,11.00,5.00,9.00,1271.88,0.13,0.00,362.59,146.290,2.168
,Mixed / non conventional,7.00,11.00,9.00,13.00,9443.25,0.08,0.00,-178.18,1086.154,2.168
,Mixed / non conventional,7.00,11.00,13.00,17.00,7346.78,0.09,0.00,0.57,-676.016,2.168
,Mixed / non conventional,7.00,11.00,17.00,21.00,11199.69,0.09,0.00,42.02,-147.220,2.168
,Mixed / non conventional,7.00,11.00,21.00,25.00,11989.83,0.08,0.00,-56.62,-52.536,2.168
,Mixed / non conventional,7.00,11.00,25.00,29.00,25260.91,0.08,0.00,-44.23,-50.311,2.168
,Mixed / non conventional,8.00,12.00,2.00,6.00,2890.67,0.29,0.00,-22.67,-232.622,1.896
,Mixed / non conventional,8.00,12.00,6.00,10.00,5401.24,0.28,0.00,113.44,543.320,1.896
,Mixed / non conventional,8.00,12.00,10.00,14.00,6061.75,0.28,0.00,-77.19,609.761,1.896
,Mixed / non conventional,8.00,12.00,14.00,18.00,7294.67,0.28,0.00,-10.99,-587.027,1.896
,Mixed / non conventional,8.00,12.00,18.00,22.00,11468.71,0.28,0.00,19.80,-131.846,1.896
,Mixed / non conventional,8.00,12.00,22.00,26.00,13053.85,0.28,0.00,-23.38,-50.023,1.896
,Mixed / non conventional,8.00,12.00,26.00,30.00,29585.03,0.25,0.00,-4.76,-51.533,1.896
,Mixed / non conventional,9.00,13.00,3.00,7.00,1682.66,0.26,0.00,159.49,-94.317,1.321
,Mixed / non conventional,9.00,13.00,7.00,11.00,9308.86,0.26,0.00,-42.12,652.229,1.321
,Mixed / non conventional,9.00,13.00,11.00,15.00,2220.95,0.27,0.00,-64.99,155.612,1.321
,Mixed / non conventional,9.00,13.00,15.00,19.00,6839.33,0.26,0.00,20.34,-383.361,1.321
,Mixed / non conventional,9.00,13.00,19.00,23.00,16144.95,0.26,0.00,20.35,-129.280,1.321
,Mixed / non conventional,9.00,13.00,23.00,27.00,22604.01,0.27,0.00,-8.70,-60.334,1.321
,Mixed / non conventional,9.00,13.00,27.00,31.00,41483.89,0.24,0.00,-6.95,-50.331,1.321
,Mixed / non conventional,10.00,14.00,4.00,8.00,1032.97,0.15,0.00,-163.47,-67.992,1.551
