,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N� electrode A,N� electrode B,N� electrode M,N� electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (�C),Rx-Bat (V),Rx Temp. (�C),Date,Gapfiller,Synch
,Mixed / non conventional,1,5,3,7,144.78,0,14.94,1643.976,214.032,250,18.85,0,0,0,0,0,0,0,0,1,5,3,7,0,0,0,0,3,0,241,52,1.126,0,0,,3,1,0,12.04,0,12.12,24.6,11/7/2025 5:49:33 PM,0,0
,Mixed / non conventional,1,5,7,11,145.02,0,-5.77,-1317.354,214.032,250,-23.56,0,0,0,0,0,0,0,0,1,5,7,11,0,0,0,0,3,0,241,52,1.126,0,0,,3,2,0,12.04,0,12.12,24.6,11/7/2025 5:49:33 PM,0,0
,Mixed / non conventional,1,5,11,15,198.62,0,54.02,-257.742,214.032,250,-164.93,0,0,0,0,0,0,0,0,1,5,11,15,0,0,0,0,3,0,241,52,1.126,0,0,,3,3,0,12.04,0,12.12,24.6,11/7/2025 5:49:33 PM,0,0
,Mixed / non conventional,1,5,15,19,267.4,0.05,-49.61,-115.669,214.032,250,-494.8,0,0,0,0,0,0,0,0,1,5,15,19,0,0,0,0,3,0,241,52,1.126,0,0,,3,4,0,12.04,0,12.12,24.6,11/7/2025 5:49:33 PM,0,0
,Mixed / non conventional,1,5,19,23,257.26,0,2.55,-50.583,214.032,250,-1088.56,0,0,0,0,0,0,0,0,1,5,19,23,0,0,0,0,3,0,241,52,1.126,0,0,,3,5,0,12.04,0,12.12,24.6,11/7/2025 5:49:33 PM,0,1
,Mixed / non conventional,2,6,4,8,131.79,0.04,-24.69,1518.459,217.189,250,18.85,0,0,0,0,0,0,0,0,2,6,4,8,0,0,0,0,3,0,309,67,1.425,0,0,,3,1,0,11.56,0,12.1,25,11/7/2025 5:49:35 PM,0,0
,Mixed / non conventional,2,6,8,12,140.77,0.03,-15.95,-1297.56,217.189,250,-23.56,0,0,0,0,0,0,0,0,2,6,8,12,0,0,0,0,3,0,309,67,1.425,0,0,,3,2,0,11.56,0,12.1,25,11/7/2025 5:49:35 PM,0,0
,Mixed / non conventional,2,6,12,16,218.53,0.03,22.34,-287.762,217.189,250,-164.93,0,0,0,0,0,0,0,0,2,6,12,16,0,0,0,0,3,0,309,67,1.425,0,0,,3,3,0,11.56,0,12.1,25,11/7/2025 5:49:35 PM,0,0
,Mixed / non conventional,2,6,16,20,262.07,0,9.37,-115.033,217.189,250,-494.8,0,0,0,0,0,0,0,0,2,6,16,20,0,0,0,0,3,0,309,67,1.425,0,0,,3,4,0,11.56,0,12.1,25,11/7/2025 5:49:35 PM,0,0
,Mixed / non conventional,2,6,20,24,253.35,0.03,26.8,-50.548,217.189,250,-1088.56,0,0,0,0,0,0,0,0,2,6,20,24,0,0,0,0,3,0,309,67,1.425,0,0,,3,5,0,11.56,0,12.1,25,11/7/2025 5:49:35 PM,0,1
