label,x,y,z,buried
1,0,0,349.485,0
2,1,0,349.4753,0
3,2,0,349.4656,0
4,3,0,349.4559,0
5,4,0,349.4462,0
6,5,0,349.4365,0
7,6,0,349.4268,0
8,7,0,349.4171,0
9,8,0,349.4074,0
10,9,0,349.3977,0
11,10,0,349.388,0
12,11,0,349.3783,0
13,12,0,349.3686,0
14,13,0,349.3589,0
15,14,0,349.3492,0
16,15,0,349.3395,0
17,16,0,349.3298,0
18,17,0,349.3201,0
19,18,0,349.3104,0
20,19,0,349.3007,0
21,20,0,349.291,0
22,21,0,349.2813,0
23,22,0,349.2716,0
24,23,0,349.2619,0
25,24,0,349.2522,0
26,25,0,349.2425,0
27,26,0,349.2328,0
28,27,0,349.2231,0
29,28,0,349.2134,0
30,29,0,349.2037,0
31,30,0,349.194,0
32,31,0,349.1843,0
33,32,0,349.1746,0
34,33,0,349.1649,0
35,34,0,349.1552,0
36,35,0,349.1455,0
37,36,0,349.1358,0
38,37,0,349.1261,0
39,38,0,349.1164,0
40,39,0,349.1067,0
41,40,0,349.097,0
42,41,0,349.0873,0
43,42,0,349.0776,0
44,43,0,349.0679,0
45,44,0,349.0582,0
46,45,0,349.0485,0
47,46,0,349.0388,0
48,47,0,349.0291,0
49,48,0,349.0161,0
50,49,0,349.0031,0
51,50,0,348.9901,0
52,51,0,348.9771,0
53,52,0,348.9641,0
54,53,0,348.9511,0
55,54,0,348.9381,0
56,55,0,348.9251,0
57,56,0,348.9121,0
58,57,0,348.8991,0
59,58,0,348.8861,0
60,59,0,348.8731,0
61,60,0,348.8601,0
62,61,0,348.8471,0
63,62,0,348.8341,0
64,63,0,348.8211,0
65,64,0,348.8081,0
66,65,0,348.7951,0
67,66,0,348.7821,0
68,67,0,348.7691,0
69,68,0,348.7561,0
70,69,0,348.7431,0
71,70,0,348.7301,0
72,71,0,348.7171,0
