,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Y Average tab raw 0,Y Average tab raw 10,Y Average tab raw 20,Y Average tab raw 30,Y Average tab raw 40,Y Average tab raw 50,Y Average tab raw 60,Y Average tab raw 70,Y Average tab raw 80,Y Average tab raw 90,Y Average tab raw 100,Y Average tab raw 110,Y Average tab raw 120,Y Average tab raw 130,Y Average tab raw 140,Y Average tab raw 150,Y Average tab raw 160,Y Average tab raw 170,Y Average tab raw 180,Y Average tab raw 190,Y Average tab raw 200,Y Average tab raw 210,Y Average tab raw 220,Y Average tab raw 230,Y Average tab raw 240
,Mixed / non conventional,1.00,6.00,7.00,12.00,361.55,0.05,-10.48,-9904.364,227.200,250,-8.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,7,12,0.00,0.00,0.00,0.00,3,0.000,490,111,2.156,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,1,0,15.71,19.0,16.19,30.2,3/5/2025 1:21:37 PM,0,7,-9563.394,-8076.115,-4584.678,327.349,4970.627,8091.669,9569.928,9991.091,9987.478,9919.512,9894.551,9902.250,9914.548,9919.668,9918.959,9916.682,9915.022,9914.042,9913.160,9912.020,9910.598,9908.986,9907.256,9905.443,9889.064
,Mixed / non conventional,1.00,6.00,12.00,17.00,827.87,0.05,29.59,-1417.418,227.200,250,-132.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,12,17,0.00,0.00,0.00,0.00,3,0.000,490,111,2.156,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,2,0,15.71,19.0,16.19,30.2,3/5/2025 1:21:37 PM,0,7,-1369.626,-1162.538,-669.851,31.204,700.362,1154.081,1370.881,1433.308,1432.793,1422.281,1417.945,1418.521,1419.924,1420.372,1420.011,1419.445,1418.991,1418.662,1418.369,1418.055,1417.714,1417.357,1416.994,1416.630,1414.381
,Mixed / non conventional,1.00,6.00,17.00,22.00,840.04,0.05,-4.60,-410.929,227.200,250,-464.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,17,22,0.00,0.00,0.00,0.00,3,0.000,490,111,2.156,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,3,0,15.71,19.0,16.19,30.2,3/5/2025 1:21:37 PM,0,7,-397.344,-338.060,-195.823,7.556,202.257,334.526,397.794,415.988,415.767,412.616,411.279,411.395,411.766,411.866,411.733,411.543,411.389,411.275,411.173,411.069,410.957,410.843,410.727,410.613,409.989
,Mixed / non conventional,1.00,6.00,22.00,27.00,708.38,0.05,-25.27,-146.606,227.200,250,-1097.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,22,27,0.00,0.00,0.00,0.00,3,0.000,490,111,2.156,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,4,0,15.71,19.0,16.19,30.2,3/5/2025 1:21:37 PM,0,7,-141.134,-118.522,-66.011,7.239,75.931,121.673,143.007,148.813,148.489,147.322,146.844,146.871,146.978,146.988,146.921,146.838,146.771,146.720,146.674,146.629,146.582,146.534,146.487,146.441,146.163
,Mixed / non conventional,1.00,6.00,27.00,32.00,609.57,0.05,-13.58,-65.113,227.200,250,-2126.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,27,32,0.00,0.00,0.00,0.00,3,0.000,490,111,2.156,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,5,0,15.71,19.0,16.19,30.2,3/5/2025 1:21:37 PM,0,7,-62.882,-53.301,-30.529,1.801,32.565,53.340,63.201,65.988,65.914,65.404,65.189,65.204,65.258,65.269,65.245,65.212,65.186,65.166,65.149,65.131,65.112,65.092,65.074,65.056,64.951
,Mixed / non conventional,1.00,6.00,32.00,37.00,468.08,0.05,36.90,-29.166,227.200,250,-3646.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,32,37,0.00,0.00,0.00,0.00,3,0.000,490,111,2.156,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,6,0,15.71,19.0,16.19,30.2,3/5/2025 1:21:37 PM,0,7,-28.193,-23.909,-13.725,0.738,14.507,23.814,28.240,29.499,29.477,29.258,29.169,29.181,29.211,29.222,29.216,29.206,29.198,29.193,29.189,29.184,29.178,29.172,29.167,29.162,29.118
,Mixed / non conventional,1.00,6.00,37.00,42.00,380.19,0.06,-21.25,-15.023,227.200,250,-5749.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,37,42,0.00,0.00,0.00,0.00,3,0.000,490,111,2.156,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,7,0,15.71,19.0,16.19,30.2,3/5/2025 1:21:37 PM,0,7,-14.513,-12.289,-7.022,0.436,7.520,12.297,14.562,15.202,15.187,15.072,15.026,15.033,15.048,15.052,15.049,15.043,15.039,15.036,15.033,15.031,15.028,15.025,15.022,15.019,14.995
,Mixed / non conventional,1.00,6.00,42.00,47.00,269.41,0.05,19.30,-7.689,243.505,250,-8532.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,42,47,0.00,0.00,0.00,0.00,3,0.000,521,127,2.138,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,1,0,15.61,19.0,16.19,30.2,3/5/2025 1:21:40 PM,0,1,-7.557,-6.458,-3.420,0.864,4.648,6.908,7.770,7.879,7.775,7.700,7.686,7.697,7.706,7.707,7.703,7.699,7.697,7.695,7.693,7.691,7.688,7.684,7.681,7.678,7.675
,Mixed / non conventional,1.00,6.00,47.00,52.00,218.36,0.07,-9.27,-4.399,243.505,250,-12087.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,47,52,0.00,0.00,0.00,0.00,3,0.000,521,127,2.138,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,2,0,15.61,19.0,16.19,30.2,3/5/2025 1:21:40 PM,0,1,-4.113,-3.421,-2.219,-0.498,1.424,3.012,3.972,4.375,4.462,4.440,4.412,4.403,4.404,4.406,4.406,4.405,4.403,4.402,4.400,4.399,4.398,4.397,4.396,4.396,4.380
,Mixed / non conventional,1.00,6.00,52.00,57.00,176.67,0.08,6.74,-2.606,243.505,250,-16509.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,52,57,0.00,0.00,0.00,0.00,3,0.000,521,127,2.138,00.000000,00.000000,,0:/DATA/96dd4#01.rpp,3,0,15.61,19.0,16.19,30.2,3/5/2025 1:21:40 PM,0,1,-2.508,-2.112,-1.189,0.107,1.331,2.152,2.539,2.646,2.641,2.619,2.610,2.610,2.612,2.613,2.612,2.610,2.609,2.608,2.607,2.606,2.604,2.603,2.602,2.601,2.596
