    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    7   12         1    6        5.34381          539.86819      722.95780         0.33333E+02    0.18299E+02    1
    8   13         1    6        1.97577          748.65522      794.37303         0.33333E+02    0.33333E+02    0
    9   14         1    6       -0.95157          937.22343      910.84539         0.33332E+02    0.33332E+02    0
   10   15         1    6       -1.94962         1088.30180     1018.86222         0.33330E+02    0.29570E+02    1
   11   16         1    6       -1.92891         1195.94545     1120.47035         0.33327E+02    0.29590E+02    1
   12   17         1    6       -1.64763         1236.54653     1174.57363         0.33321E+02    0.32044E+02    1
   13   18         1    6       -0.99761         1244.10069     1207.39497         0.33312E+02    0.33312E+02    0
   14   19         1    6       -0.41762         1253.27091     1237.64999         0.33297E+02    0.33297E+02    0
   15   20         1    6        0.26874         1250.40443     1260.54446         0.33273E+02    0.33273E+02    0
   16   21         1    6        0.35403         1276.23003     1289.89439         0.33243E+02    0.33243E+02    0
   17   22         1    6        0.64551         1254.70876     1279.34908         0.33192E+02    0.33192E+02    0
   18   23         1    6        0.63047         1239.15704     1262.97191         0.33120E+02    0.33120E+02    0
   19   24         1    6        0.54369         1213.60940     1233.76103         0.33014E+02    0.33014E+02    0
   20   25         1    6        0.76531         1149.31883     1176.41966         0.32837E+02    0.32837E+02    0
   21   26         1    6        0.66704         1086.22965     1108.70119         0.32576E+02    0.32576E+02    0
   22   27         1    6        0.27732         1060.98347     1070.14038         0.32271E+02    0.32271E+02    0
   23   28         1    6       -0.09524         1054.34748     1051.20612         0.31920E+02    0.31920E+02    0
   24   29         1    6       -0.56761         1041.93099     1023.30475         0.31467E+02    0.31467E+02    0
   25   30         1    6       -0.79529         1002.44121      976.88309         0.30794E+02    0.30794E+02    0
   26   31         1    6       -0.80378          963.35624      937.84005         0.29943E+02    0.29943E+02    0
   27   32         1    6       -0.60482          912.46902      893.50624         0.28800E+02    0.28800E+02    0
   28   33         1    6       -0.53764          862.07337      845.32360         0.27401E+02    0.27401E+02    0
   29   34         1    6       -0.55279          812.63755      795.38179         0.25756E+02    0.25756E+02    0
   30   35         1    6       -0.48361          766.45787      751.12171         0.23927E+02    0.23927E+02    0
   31   36         1    6       -0.29762          719.76898      710.06197         0.21919E+02    0.21919E+02    0
   32   37         1    6       -0.37009          705.63443      692.95110         0.20404E+02    0.20404E+02    0
   33   38         1    6       -0.17245          678.62284      672.38084         0.18663E+02    0.18663E+02    0
   34   39         1    6       -0.04879          662.73570      660.85493         0.17167E+02    0.17167E+02    0
   35   40         1    6       -0.03155          646.34264      645.04694         0.15725E+02    0.15725E+02    0
   36   41         1    6       -0.12373          624.55365      619.15828         0.14261E+02    0.14261E+02    0
   37   42         1    6       -0.04792          577.19874      574.97598         0.12421E+02    0.12421E+02    0
   38   43         1    6        0.02873          535.60532      537.03087         0.10810E+02    0.10810E+02    0
   39   44         1    6        0.14602          495.43986      503.23219         0.93569E+01    0.93569E+01    0
   40   45         1    6        0.23017          465.58301      478.82625         0.82064E+01    0.82064E+01    0
   41   46         1    6        0.31586          437.35316      456.98802         0.71923E+01    0.71923E+01    0
   42   47         1    6        0.36575          408.55956      433.09805         0.62707E+01    0.62707E+01    0
   43   48         1    6        0.39743          390.64971      419.41051         0.55945E+01    0.55945E+01    0
   47   52         1    6        0.43630          330.73911      373.01911         0.36267E+01    0.36267E+01    0
    8   13         2    7        5.09485          554.12551      726.72324         0.33333E+02    0.18789E+02    1
    9   14         2    7        1.64197          830.98946      872.94916         0.33333E+02    0.33333E+02    0
   10   15         2    7       -1.24112         1036.41738      998.41692         0.33332E+02    0.33226E+02    1
   11   16         2    7       -1.69712         1185.29752     1118.51676         0.33330E+02    0.29266E+02    1
   12   17         2    7       -1.60071         1251.65005     1186.65367         0.33327E+02    0.30018E+02    1
   13   18         2    7       -1.20912         1276.60562     1230.55576         0.33322E+02    0.32911E+02    1
   14   19         2    7       -0.68057         1296.14878     1269.93813         0.33313E+02    0.33313E+02    0
   15   20         2    7        0.01447         1298.83681     1299.40148         0.33299E+02    0.33299E+02    0
   16   21         2    7        0.17146         1328.38931     1335.25094         0.33280E+02    0.33280E+02    0
   17   22         2    7        0.53559         1307.67095     1328.90727         0.33247E+02    0.33247E+02    0
   18   23         2    7        0.55109         1294.28980     1315.95301         0.33200E+02    0.33200E+02    0
   19   24         2    7        0.46370         1270.58282     1288.49129         0.33130E+02    0.33130E+02    0
   20   25         2    7        0.74521         1202.55664     1230.01447         0.33009E+02    0.33009E+02    0
   21   26         2    7        0.66709         1136.45477     1159.78584         0.32826E+02    0.32826E+02    0
   22   27         2    7        0.28554         1110.33019     1120.09616         0.32607E+02    0.32607E+02    0
   23   28         2    7       -0.12700         1105.59688     1101.26523         0.32351E+02    0.32351E+02    0
   24   29         2    7       -0.64299         1094.86121     1073.09243         0.32016E+02    0.32016E+02    0
   25   30         2    7       -0.89331         1055.09970     1025.25557         0.31509E+02    0.31133E+02    1
   26   31         2    7       -0.91785         1015.78000      985.07209         0.30853E+02    0.29900E+02    1
   27   32         2    7       -0.78398          964.15874      939.24632         0.29948E+02    0.29948E+02    0
   28   33         2    7       -0.72241          911.73813      889.14805         0.28794E+02    0.28794E+02    0
   29   34         2    7       -0.76120          860.60249      837.01131         0.27386E+02    0.27386E+02    0
   30   35         2    7       -0.68076          811.83327      790.64815         0.25745E+02    0.25745E+02    0
   31   36         2    7       -0.54679          764.64622      747.35072         0.23900E+02    0.23900E+02    0
   32   37         2    7       -0.56127          747.59023      729.08078         0.22388E+02    0.22388E+02    0
   33   38         2    7       -0.42130          721.75407      707.20720         0.20692E+02    0.20692E+02    0
   34   39         2    7       -0.25927          704.36616      694.88912         0.19140E+02    0.19140E+02    0
   35   40         2    7       -0.22520          686.86081      678.13769         0.17619E+02    0.17619E+02    0
   36   41         2    7       -0.31662          663.69245      650.72830         0.16050E+02    0.16050E+02    0
   37   42         2    7       -0.21086          613.03107      603.89643         0.14045E+02    0.14045E+02    0
   38   43         2    7       -0.10460          568.48984      563.65969         0.12259E+02    0.12259E+02    0
   39   44         2    7       -0.00738          528.06185      527.69693         0.10674E+02    0.10674E+02    0
   40   45         2    7        0.11262          495.65630      501.65564         0.93607E+01    0.93607E+01    0
   41   46         2    7        0.21923          465.74853      478.35417         0.82091E+01    0.82091E+01    0
   42   47         2    7        0.28508          435.25750      452.93855         0.71594E+01    0.71594E+01    0
   43   48         2    7        0.34483          415.16029      438.25994         0.63683E+01    0.63683E+01    0
   47   52         2    7        0.41773          350.79677      388.38189         0.41042E+01    0.41042E+01    0
   50   55         2    7        0.44116          309.57552      358.78358         0.29906E+01    0.29906E+01    0
   54   59         2    7        0.42152          264.81050      326.48721         0.20132E+01    0.20132E+01    0
    9   14         3    8        5.10999          616.70099      801.13789         0.33333E+02    0.19530E+02    1
   10   15         3    8        0.69117          923.67356      943.02624         0.33333E+02    0.33333E+02    0
   11   16         3    8       -1.35412         1139.39070     1087.41884         0.33332E+02    0.29004E+02    1
   12   17         3    8       -1.65305         1249.61269     1175.55820         0.33331E+02    0.27059E+02    1
   13   18         3    8       -1.47086         1302.24811     1235.53273         0.33328E+02    0.27969E+02    1
   14   19         3    8       -1.21140         1340.28760     1287.93295         0.33323E+02    0.30402E+02    1
   15   20         3    8       -0.56711         1349.61172     1326.83224         0.33315E+02    0.33315E+02    0
   16   21         3    8       -0.37370         1387.06326     1371.58591         0.33303E+02    0.33303E+02    0
   17   22         3    8        0.13554         1366.09265     1371.66701         0.33283E+02    0.33283E+02    0
   18   23         3    8        0.24015         1354.27492     1364.09077         0.33253E+02    0.33253E+02    0
   19   24         3    8        0.18639         1332.53914     1340.03940         0.33208E+02    0.33208E+02    0
   20   25         3    8        0.42922         1265.21321     1281.71223         0.33128E+02    0.33128E+02    0
   21   26         3    8        0.51682         1191.12764     1209.92753         0.33002E+02    0.33002E+02    0
   22   27         3    8        0.12882         1165.29990     1169.87833         0.32850E+02    0.32850E+02    0
   23   28         3    8       -0.30020         1162.49409     1151.86060         0.32669E+02    0.32669E+02    0
   24   29         3    8       -0.74442         1150.57127     1124.04984         0.32424E+02    0.31921E+02    1
   25   30         3    8       -0.94683         1110.71396     1075.29343         0.32052E+02    0.29215E+02    1
   26   31         3    8       -0.99943         1071.89757     1034.39295         0.31562E+02    0.28061E+02    1
   27   32         3    8       -0.92983         1020.74155      987.41313         0.30874E+02    0.28010E+02    1
   28   33         3    8       -0.90299          966.33135      935.64095         0.29961E+02    0.27978E+02    1
   29   34         3    8       -0.95340          912.29017      881.46866         0.28798E+02    0.27740E+02    1
   30   35         3    8       -0.94021          862.19149      833.11052         0.27403E+02    0.27403E+02    0
   31   36         3    8       -0.77892          811.81372      787.61993         0.25745E+02    0.25745E+02    0
   32   37         3    8       -0.80840          794.23610      768.28618         0.24336E+02    0.24336E+02    0
   33   38         3    8       -0.62844          766.09896      745.16889         0.22687E+02    0.22687E+02    0
   34   39         3    8       -0.52566          750.53762      732.14588         0.21188E+02    0.21188E+02    0
   35   40         3    8       -0.44890          731.04692      714.50834         0.19617E+02    0.19617E+02    0
   36   41         3    8       -0.53903          706.42873      685.56085         0.17977E+02    0.17977E+02    0
   37   42         3    8       -0.39550          652.00992      635.92366         0.15832E+02    0.15832E+02    0
   38   43         3    8       -0.28824          605.67908      593.25391         0.13906E+02    0.13906E+02    0
   39   44         3    8       -0.14483          561.64706      554.98138         0.12131E+02    0.12131E+02    0
   40   45         3    8       -0.04582          529.46472      527.20229         0.10699E+02    0.10699E+02    0
   41   46         3    8        0.10061          496.98439      502.34178         0.93838E+01    0.93838E+01    0
   42   47         3    8        0.18910          464.43299      475.28447         0.81874E+01    0.81874E+01    0
   43   48         3    8        0.24993          444.08298      459.55514         0.72977E+01    0.72977E+01    0
   44   49         3    8        0.22749          428.54972      443.65822         0.65659E+01    0.65659E+01    0
   46   51         3    8        0.31942          388.00520      412.65927         0.51851E+01    0.51851E+01    0
   47   52         3    8        0.38380          373.93658      405.95166         0.46720E+01    0.46720E+01    0
   50   55         3    8        0.41401          331.22034      374.03281         0.34058E+01    0.34058E+01    0
   52   57         3    8        0.42741          304.80733      355.69514         0.27683E+01    0.27683E+01    0
   79   84         3    8        0.29530          176.62059      351.70423         0.42872E+00    0.42872E+00    0
   10   15         4    9        4.51151          684.50185      837.24061         0.33333E+02    0.22399E+02    1
   11   16         4    9        0.21487         1011.64275     1018.18498         0.33333E+02    0.33333E+02    0
   12   17         4    9       -1.41230         1192.48822     1134.39448         0.33332E+02    0.28278E+02    1
   13   18         4    9       -1.56697         1289.34426     1216.19103         0.33331E+02    0.26827E+02    1
   14   19         4    9       -1.45651         1354.63654     1285.90000         0.33328E+02    0.27970E+02    1
   15   20         4    9       -0.96446         1376.82632     1337.19801         0.33324E+02    0.33024E+02    1
   16   21         4    9       -0.70708         1423.08681     1393.20307         0.33317E+02    0.33317E+02    0
   17   22         4    9       -0.09300         1405.83455     1401.91413         0.33304E+02    0.33304E+02    0
   18   23         4    9        0.15599         1395.10084     1401.65437         0.33285E+02    0.33285E+02    0
   19   24         4    9        0.21387         1373.84541     1382.70932         0.33255E+02    0.33255E+02    0
   20   25         4    9        0.49503         1306.33232     1325.95479         0.33202E+02    0.33202E+02    0
   21   26         4    9        0.64745         1229.48157     1253.75543         0.33116E+02    0.33116E+02    0
   22   27         4    9        0.38431         1200.13880     1214.19399         0.33007E+02    0.33007E+02    0
   23   28         4    9       -0.02791         1198.73306     1197.71590         0.32876E+02    0.32876E+02    0
   24   29         4    9       -0.51213         1189.46816     1170.98345         0.32698E+02    0.32698E+02    0
   25   30         4    9       -0.71253         1148.19494     1121.98843         0.32420E+02    0.30861E+02    1
   26   31         4    9       -0.79977         1110.71474     1080.95479         0.32052E+02    0.29448E+02    1
   27   32         4    9       -0.76783         1060.87976     1033.35753         0.31527E+02    0.29211E+02    1
   28   33         4    9       -0.75955         1006.23742      980.37738         0.30811E+02    0.29173E+02    1
   29   34         4    9       -0.80717          950.54931      924.56740         0.29865E+02    0.29125E+02    1
   30   35         4    9       -0.79412          899.07798      874.53415         0.28691E+02    0.28691E+02    0
   31   36         4    9       -0.69522          848.45387      827.08825         0.27259E+02    0.27259E+02    0
   32   37         4    9       -0.70472          829.05392      806.85222         0.25961E+02    0.25961E+02    0
   33   38         4    9       -0.54905          800.43269      782.63953         0.24424E+02    0.24424E+02    0
   34   39         4    9       -0.44522          784.09511      769.04276         0.22968E+02    0.22968E+02    0
   35   40         4    9       -0.42173          765.56123      750.64769         0.21437E+02    0.21437E+02    0
   36   41         4    9       -0.51012          739.11098      720.27209         0.19758E+02    0.19758E+02    0
   37   42         4    9       -0.37750          682.43187      667.89912         0.17537E+02    0.17537E+02    0
   38   43         4    9       -0.29204          634.69297      622.84877         0.15503E+02    0.15503E+02    0
   39   44         4    9       -0.14790          588.66714      582.29139         0.13581E+02    0.13581E+02    0
   40   45         4    9       -0.05634          555.39119      552.79287         0.12013E+02    0.12013E+02    0
   41   46         4    9        0.07935          522.44940      526.38575         0.10572E+02    0.10572E+02    0
   42   47         4    9        0.19379          487.33543      497.69165         0.92156E+01    0.92156E+01    0
   43   48         4    9        0.24569          466.76574      480.91715         0.82260E+01    0.82260E+01    0
   44   49         4    9        0.24471          448.77433      463.92292         0.73711E+01    0.73711E+01    0
   45   50         4    9        0.24859          429.03118      445.56808         0.65730E+01    0.65730E+01    0
   46   51         4    9        0.32437          407.56570      430.88636         0.58295E+01    0.58295E+01    0
   47   52         4    9        0.40138          392.34520      423.56925         0.52416E+01    0.52416E+01    0
   49   54         4    9        0.44662          356.18323      396.48843         0.41662E+01    0.41662E+01    0
   50   55         4    9        0.42235          348.54017      389.29353         0.38194E+01    0.38194E+01    0
   52   57         4    9        0.45440          318.85009      369.54819         0.30794E+01    0.30794E+01    0
   54   59         4    9        0.44449          294.78181      351.63830         0.25202E+01    0.25202E+01    0
   11   16         5   10        4.24087          791.99155      936.79622         0.33333E+02    0.25256E+02    1
   12   17         5   10       -0.49609         1114.23750     1097.77723         0.33333E+02    0.33333E+02    0
   13   18         5   10       -1.69999         1295.43010     1211.57902         0.33332E+02    0.25404E+02    1
   14   19         5   10       -1.90932         1411.76945     1305.78289         0.33331E+02    0.24466E+02    1
   15   20         5   10       -1.61461         1458.78971     1374.15929         0.33329E+02    0.27016E+02    1
   16   21         5   10       -1.50919         1522.86281     1445.64009         0.33325E+02    0.29001E+02    1
   17   22         5   10       -0.97726         1508.90365     1465.28930         0.33319E+02    0.33319E+02    0
   18   23         5   10       -0.59962         1500.82697     1474.05004         0.33308E+02    0.33308E+02    0
   19   24         5   10       -0.39686         1478.53965     1461.01852         0.33290E+02    0.33290E+02    0
   20   25         5   10       -0.03688         1406.61132     1405.05235         0.33259E+02    0.33259E+02    0
   21   26         5   10        0.24853         1320.95384     1330.87783         0.33205E+02    0.33205E+02    0
   22   27         5   10        0.10334         1287.06093     1291.08105         0.33135E+02    0.33135E+02    0
   23   28         5   10       -0.25007         1285.82508     1276.13243         0.33049E+02    0.33049E+02    0
