,X,Y,Vel,Cov, 
0,13.9373,799.636,2903.28,1,
1,13.9894,799.59,2933.8,1,
2,26.0673,799.793,1048.4,1,
3,38.0605,799.21,2127.19,1,
4,23.5609,799.444,1315.93,1,
5,19.2565,799.459,2670.16,1,
6,28.0611,799.938,947.641,1,
7,10.0548,799.709,1153.63,1,
8,11.9844,799.622,2102.4,1,
9,10.162,799.631,1194.15,1,
10,36.7453,799.138,1852.85,1,
11,39.2188,799.138,2205.04,1,
12,13.7815,799.398,2884.89,0,
13,28.0802,799.677,970.015,1,
14,39.9833,799.117,2299.76,1,
15,8.00054,799.737,716.853,1,
16,9.99342,799.66,1122.91,1,
17,21.5572,799.478,1907.42,1,
18,21.9929,799.436,1744.9,1,
19,19.9922,799.49,2422.69,1,
20,12.0487,799.67,2203.45,1,
21,19.94,799.532,2462.34,1,
22,20.2025,799.538,2332.86,1,
23,9.9386,799.731,1101.79,1,
24,15.9415,799.604,3265.01,1,
25,16.0004,799.555,3277.27,1,
26,15.7785,799.373,3266.4,1,
27,0.171254,799.812,732.382,1,
28,17.9465,799.563,3240.82,1,
29,16.0589,799.621,3276.82,1,
30,18.2149,799.574,3062.59,1,
31,14.2055,799.643,2985.37,1,
32,18.008,799.513,3194.97,1,
33,17.8044,799.324,3271.58,1,
34,5.94461,799.589,531.578,1,
35,18.0615,799.58,3146.1,1,
36,52.5614,799.204,1814.65,0,
37,22.5494,799.337,1563.71,1,
38,-0.107631,799.897,749.439,1,
39,1.99233,799.806,687.304,1,
40,0.0588584,799.885,742.279,1,
41,38.1328,799.159,2134.42,1,
42,44.0725,799.19,1117.67,1,
43,-0.0154394,799.822,768.743,1,
44,35.9809,799.085,1735.04,1,
45,27.2368,799.834,983.795,1,
46,-6.15109,796.937,1043.86,0,
47,-4.40728,799.368,729.781,0,
48,-3.71242,799.706,570.601,1,
49,44.013,799.407,1136.61,1,
50,43.8064,799.435,1228.51,1,
51,1.93782,799.881,674.472,1,
52,27.5687,799.893,969.916,1,
53,36.0071,799.193,1728.11,1,
54,11.5613,799.665,1761.27,1,
55,8.00159,799.641,720.529,1,
56,9.93773,799.53,1121.74,1,
57,6.21933,799.527,540.533,1,
58,6.32881,799.769,537.697,1,
